session_id,scenario_name,student_role,ai_model,first_mover,config,total_rounds,outcome,major,gender,negotiation_experience,created_at,updated_at
c529dabc-e4a2-45f7-9673-4327900e1ab8,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 06:18,2025-12-16 06:28
10aefc91-53bc-406a-92a2-6d1cdfa1ba83,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 05:53,2025-12-16 06:11
759e2cb6-9cea-443f-be67-c1ba262d2c58,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 05:52,2025-12-16 05:55
19cfaa29-599a-4431-81fb-b16c9bf591f3,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 05:43,2025-12-16 05:54
7ddd1723-4ab0-4100-9d6b-328e8185a1e6,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 05:41,2025-12-16 05:43
ed6e74fe-72f7-4571-8264-9bf318d8b16d,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 05:24,2025-12-16 05:40
ba9dceb1-78eb-40d6-9028-1ecd81ad7d10,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-16 05:23,2025-12-16 05:25
a9c8b97b-8117-45eb-ade9-10b44afc5812,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Asset Management,Male,A few instances,2025-12-16 03:38,2025-12-16 04:54
7c22103b-9e86-43a6-ab9e-5a06a8a4a286,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,Public Health,Female,None,2025-12-16 03:28,2025-12-16 04:47
a82cf232-c03b-43f0-a4ad-71e32a94ab6d,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Asset Management,Male,A few instances,2025-12-16 03:07,2025-12-16 03:38
c3d80294-60f3-4cc8-bb94-6644503ce532,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,MBA,Female,Occasional,2025-12-15 23:47,2025-12-16 00:57
